"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 28, 2018","127.53","127.98","127.98","127.98","-","-1.02%"
"Mar 27, 2018","128.84","129.29","129.29","129.29","-","-0.95%"
"Mar 26, 2018","130.07","130.51","130.51","130.51","-","0.45%"
"Mar 23, 2018","129.49","129.92","129.92","129.92","-","1.64%"
"Mar 22, 2018","127.40","127.83","127.83","127.83","-","0.25%"
"Mar 21, 2018","127.08","127.50","127.50","127.50","-","1.01%"
"Mar 20, 2018","125.81","126.23","126.23","126.23","-","-0.57%"
"Mar 19, 2018","126.53","126.95","126.95","126.95","-","0.52%"
"Mar 16, 2018","125.87","126.52","126.52","126.52","-","-0.30%"
"Mar 15, 2018","126.25","126.90","126.90","126.90","-","-0.54%"
"Mar 14, 2018","126.94","127.60","127.60","127.60","-","-0.09%"
"Mar 13, 2018","127.05","127.71","127.71","127.71","-","0.55%"
"Mar 12, 2018","126.35","126.99","126.99","126.99","-","-0.32%"
"Mar 09, 2018","126.75","127.39","127.39","127.39","-","0.05%"
"Mar 08, 2018","126.69","126.69","127.33","126.69","-","-0.19%"
"Mar 07, 2018","126.93","126.93","126.93","126.93","-","-1.03%"
"Mar 06, 2018","128.25","128.25","128.25","128.25","-","1.14%"
"Mar 05, 2018","126.80","126.80","126.80","126.80","-","0.13%"
"Mar 02, 2018","126.63","126.63","126.63","126.63","-","0.97%"
"Mar 01, 2018","125.41","125.41","125.41","125.41","-","-0.94%"
"Feb 28, 2018","126.60","126.60","126.60","126.60","-","0.12%"
"Feb 27, 2018","126.45","126.45","126.45","126.45","-","-1.07%"
"Feb 26, 2018","127.82","127.82","127.82","127.82","-","0.27%"
"Feb 23, 2018","127.47","127.47","127.47","127.47","-","-0.03%"
"Feb 22, 2018","127.51","127.51","127.51","127.51","-","0.02%"
"Feb 21, 2018","127.48","127.48","127.48","127.48","-","-0.28%"
"Feb 20, 2018","127.84","127.84","127.84","127.84","-","-1.14%"
"Feb 19, 2018","129.31","129.31","129.31","129.31","-","-0.40%"
"Feb 16, 2018","129.83","130.01","130.01","130.01","-","0.15%"
"Feb 15, 2018","129.64","129.82","129.82","129.82","-","0.38%"
