DATE,DTWEXBGS
2011-12-29,92.7526
2011-12-30,92.4395
2012-01-02,.
2012-01-03,91.7704
2012-01-04,92.0489
2012-01-05,92.5895
2012-01-06,92.7296
2012-01-09,92.753
2012-01-10,92.2578
2012-01-11,92.5644
2012-01-12,92.2392
2012-01-13,92.5485
2012-01-16,.
2012-01-17,92.025
2012-01-18,91.7054
2012-01-19,91.3437
2012-01-20,91.3789
2012-01-23,90.9998
2012-01-24,91.1936
2012-01-25,91.2893
2012-01-26,90.4106
2012-01-27,90.2705
2012-01-30,90.4903
2012-01-31,90.5667
2012-02-01,90.111
2012-02-02,89.8904
2012-02-03,89.8621
2012-02-06,89.8044
2012-02-07,89.6113
2012-02-08,89.6694
2012-02-09,89.639
2012-02-10,90.1154
2012-02-13,89.9024
2012-02-14,90.2037
2012-02-15,90.2047
2012-02-16,90.3235
2012-02-17,90.2422
2012-02-20,.
2012-02-21,90.024
2012-02-22,90.2585
2012-02-23,90.1227
2012-02-24,89.9239
2012-02-27,89.9774
2012-02-28,89.8246
2012-02-29,89.762
2012-03-01,89.7951
2012-03-02,90.147
2012-03-05,90.2873
2012-03-06,90.8352
2012-03-07,90.6954
2012-03-08,90.2723
2012-03-09,90.4435
2012-03-12,90.6741
2012-03-13,90.5463
2012-03-14,90.941
2012-03-15,90.7962
2012-03-16,90.5355
2012-03-19,90.3036
2012-03-20,90.6176
2012-03-21,90.6867
2012-03-22,90.8334
2012-03-23,90.6275
2012-03-26,90.3393
2012-03-27,90.2916
2012-03-28,90.6142
2012-03-29,90.7402
2012-03-30,90.4711
2012-04-02,90.2596
2012-04-03,90.2043
2012-04-04,90.8388
2012-04-05,90.8884
2012-04-06,90.9489
2012-04-09,90.9739
2012-04-10,91.2844
2012-04-11,91.189
2012-04-12,90.7826
2012-04-13,91.0679
2012-04-16,91.2482
2012-04-17,90.7792
2012-04-18,90.9458
2012-04-19,91.0969
2012-04-20,90.8211
2012-04-23,91.0933
2012-04-24,90.8304
2012-04-25,90.7712
2012-04-26,90.6586
2012-04-27,90.3429
2012-04-30,90.3785
2012-05-01,90.3376
2012-05-02,90.6292
2012-05-03,90.699
2012-05-04,91.0646
2012-05-07,91.0896
2012-05-08,91.4252
2012-05-09,91.7778
2012-05-10,91.7224
2012-05-11,91.7451
2012-05-14,92.2637
2012-05-15,92.5366
2012-05-16,92.9155
2012-05-17,92.9752
2012-05-18,93.1507
2012-05-21,93.1061
2012-05-22,93.1226
2012-05-23,93.8962
2012-05-24,93.8137
2012-05-25,93.9594
2012-05-28,.
2012-05-29,93.886
2012-05-30,94.3126
2012-05-31,94.6967
2012-06-01,94.7086
2012-06-04,94.5296
2012-06-05,94.6293
2012-06-06,94.0484
2012-06-07,93.7868
2012-06-08,94.2141
2012-06-11,94.0497
2012-06-12,94.0819
2012-06-13,93.8443
2012-06-14,93.8289
2012-06-15,93.5348
2012-06-18,93.6573
2012-06-19,93.0681
2012-06-20,93.1766
2012-06-21,93.6522
2012-06-22,93.9348
2012-06-25,94.1897
2012-06-26,93.9998
2012-06-27,93.8855
2012-06-28,94.0322
2012-06-29,92.9235
2012-07-02,92.9644
2012-07-03,92.6634
2012-07-04,.
2012-07-05,93.232
2012-07-06,93.7194
2012-07-09,93.7088
2012-07-10,93.5658
2012-07-11,93.6091
2012-07-12,93.9403
2012-07-13,93.5626
2012-07-16,93.3864
2012-07-17,93.3592
2012-07-18,93.1095
2012-07-19,93.0569
2012-07-20,93.3775
2012-07-23,93.942
2012-07-24,94.2762
2012-07-25,94.0694
2012-07-26,93.3743
2012-07-27,92.9485
2012-07-30,93.0668
2012-07-31,92.8565
2012-08-01,92.9045
2012-08-02,93.4397
2012-08-03,92.6196
2012-08-06,92.4488
2012-08-07,92.5275
2012-08-08,92.5552
2012-08-09,92.6191
2012-08-10,92.5266
2012-08-13,92.6097
2012-08-14,92.629
2012-08-15,92.6975
2012-08-16,92.5878
2012-08-17,92.7242
2012-08-20,92.6396
2012-08-21,92.32
2012-08-22,92.4508
2012-08-23,92.1216
2012-08-24,92.2936
2012-08-27,92.3285
2012-08-28,92.2189
2012-08-29,92.3981
2012-08-30,92.6392
2012-08-31,92.1835
2012-09-03,.
2012-09-04,92.1733
2012-09-05,92.1418
2012-09-06,91.913
2012-09-07,91.3643
2012-09-10,91.3274
2012-09-11,91.0758
2012-09-12,91.0661
2012-09-13,90.9821
2012-09-14,90.1614
2012-09-17,90.3013
2012-09-18,90.5204
2012-09-19,90.4822
2012-09-20,90.7799
2012-09-21,90.5507
2012-09-24,90.8422
2012-09-25,90.6238
2012-09-26,91.0183
2012-09-27,90.7693
2012-09-28,90.8482
2012-10-01,90.7148
2012-10-02,90.6578
2012-10-03,90.8849
2012-10-04,90.506
2012-10-05,90.298
2012-10-08,.
2012-10-09,90.8828
2012-10-10,90.8959
